Country,Sub-Region,Code,Year,Population,GDP PER CAPITA (USD),GDP PER CAPITA PPP (USD),Area (Km2),Transportation (Mt),Total CO2 Emission including LUCF (Mt),Total CO2 Emission excluding LUCF (Mt),Other Fuel Combustion (Mt),Manufacturing/Construction (Mt),Land-Use Change and Forestry (Mt),Industrial Processes (Mt),Energy (Mt),Electricity/Heat (Mt),Bunker Fuels (Mt),Building (Mt)
Sierra Leone,Western Africa,SLE,0.15000000000000568,0.02530549958363241,0.007371603596082123,0.01169218308486797,0.02993672754545962,0.00319650067294751,0.023200389105058367,0.0011154489682097045,0.0,0.0011456628477905075,0.04519250730585586,0.0,0.0011278025894347454,0.00032097576632964214,0.002028397565922921,0.005298793052693553
Sierra Leone,Western Africa,SLE,0.20000000000000284,0.026181491247233554,0.007498254747138445,0.013096195069667737,0.02993672754545962,0.003364737550471063,0.023167963683527887,0.0010708310094813163,0.0,0.001309328968903437,0.04519250730585586,0.0,0.0010826904858573555,0.0002567806130637137,0.002704530087897228,0.005004415660877245
Sierra Leone,Western Africa,SLE,0.25,0.026901816260107493,0.008907628756093189,0.014335172464191753,0.02993672754545962,0.004037685060565275,0.023022049286640728,0.0008923591745677636,0.0,0.0003273322422258593,0.04519250730585586,0.0,0.0009022420715477963,0.00016048788316482107,0.002704530087897228,0.0038269060936120106
Sierra Leone,Western Africa,SLE,0.30000000000001137,0.027508981985435187,0.01064122971175211,0.015735530546623792,0.02993672754545962,0.005215343203230147,0.023265239948119326,0.0012046848856664808,0.0,0.0006546644844517185,0.04519250730585586,0.0,0.001218026796589525,0.00012839030653185685,0.002704530087897228,0.005593170444509862
Sierra Leone,Western Africa,SLE,0.3500000000000085,0.028130308828478726,0.012544543209826509,0.01815471840592419,0.02993672754545962,0.004710632570659487,0.023119325551232167,0.001003904071388734,0.013824884792626727,0.0003273322422258593,0.04519250730585586,0.0,0.0010150223304912708,9.629272989889262e-05,0.002028397565922921,0.0014718869590815426
Sierra Leone,Western Africa,SLE,0.4000000000000057,0.028858758836664708,0.014797413884816351,0.0196348533567183,0.02993672754545962,0.0042059219380888285,0.023135538261997407,0.0010485220301171222,0.0195852534562212,0.00016366612111292964,0.04519250730585586,0.0,0.0010601344340686607,9.629272989889262e-05,0.002704530087897228,0.0011775095672652341
Sierra Leone,Western Africa,SLE,0.45000000000000284,0.029670211530411345,0.013980767262805192,0.019980756114196627,0.02993672754545962,0.004710632570659487,0.023135538261997407,0.0010485220301171222,0.014976958525345623,0.0006546644844517185,0.04519250730585586,0.0,0.0010601344340686607,0.00012839030653185685,0.002704530087897228,0.0005887547836326171
Sierra Leone,Western Africa,SLE,0.5,0.030519475224800422,0.014695586359367071,0.021604611224788073,0.02993672754545962,0.005720053835800806,0.02321660181582361,0.0011377579475738988,0.013824884792626727,0.0011456628477905075,0.04519250730585586,0.0,0.0011503586412234404,6.419515326592842e-05,0.002704530087897228,0.00029437739181630853
Sierra Leone,Western Africa,SLE,0.5500000000000114,0.031363125373374025,0.016869426716097764,0.023440697164571755,0.02993672754545962,0.006729475100942125,0.023492217898832688,0.001517010596765198,0.02880184331797235,0.0008183306055646483,0.04519250730585586,0.0,0.0015338115216312538,6.419515326592842e-05,0.002704530087897228,0.00029437739181630853
Sierra Leone,Western Africa,SLE,0.6000000000000085,0.03220924855539072,0.02268170134037446,0.02938224690636266,0.02993672754545962,0.006729475100942125,0.023686770428015567,0.0017847183491355272,0.03686635944700461,0.0009819967266775779,0.04519250730585586,0.0,0.0018044841430955925,0.00016048788316482107,0.002704530087897228,0.00029437739181630853
Sierra Leone,Western Africa,SLE,0.6500000000000057,0.03305570787787541,0.03019312780722276,0.039614087011595044,0.02993672754545962,0.008243606998654104,0.023978599221789885,0.002186279977691021,0.04377880184331797,0.0014729950900163667,0.04519250730585586,0.0,0.002210493075292101,0.00016048788316482107,0.002704530087897228,0.00029437739181630853
Sierra Leone,Western Africa,SLE,0.7000000000000028,0.033900039911398366,0.029984913314886168,0.04069411965312286,0.02993672754545962,0.00908479138627187,0.024140726329442287,0.002431678750697155,0.04608294930875576,0.0019639934533551557,0.04519250730585586,0.0,0.0024586096449677446,0.00016048788316482107,0.002704530087897228,0.0005887547836326171
Sierra Leone,Western Africa,SLE,0.75,0.034735997245261635,0.023852464580739093,0.034946835720549546,0.02993672754545962,0.01110363391655451,0.024059662775616084,0.002297824874511991,0.027649769585253454,0.0019639934533551557,0.04519250730585586,0.0,0.0023232733342355757,0.00019258545979778524,0.001352265043948614,0.00029437739181630853
